report_date,primal_desc,choice_600_900,select_600_900,week_of_year,year,indexby_year,start_of_week,end_of_week
2013-05-23,Chuck,168.19,161.62,214,2013,100,2013-05-19,2013-05-24
2013-05-23,Round,163.88,160.22,214,2013,100,2013-05-19,2013-05-24
2013-05-23,Brisket,135.05,135.85,214,2013,100,2013-05-19,2013-05-24
2013-05-23,Loin,321.57,265.2,214,2013,100,2013-05-19,2013-05-24
2013-05-23,Plate,141.03,144.73,214,2013,100,2013-05-19,2013-05-24
2013-05-23,Trim,90.47,90.47,214,2013,100,2013-05-19,2013-05-24
2013-05-23,Flank,114.0,111.16,214,2013,100,2013-05-19,2013-05-24
2013-05-23,Rib,319.29,271.88,214,2013,100,2013-05-19,2013-05-24
2013-05-23,Cutout,211.37,191.52,214,2013,100,2013-05-19,2013-05-24
2013-05-24,Flank,112.75,112.49,215,2013,101,2013-05-19,2013-05-24
2013-05-24,Brisket,134.47,135.65,215,2013,101,2013-05-19,2013-05-24
2013-05-24,Plate,139.95,143.85,215,2013,101,2013-05-19,2013-05-24
2013-05-24,Chuck,162.92,158.44,215,2013,101,2013-05-19,2013-05-24
2013-05-24,Loin,319.04,265.31,215,2013,101,2013-05-19,2013-05-24
2013-05-24,Cutout,208.87,190.44,215,2013,101,2013-05-19,2013-05-24
2013-05-24,Round,162.67,159.13,215,2013,101,2013-05-19,2013-05-24
2013-05-24,Trim,83.51,83.51,215,2013,101,2013-05-19,2013-05-24
2013-05-24,Rib,319.37,272.86,215,2013,101,2013-05-19,2013-05-24
2013-05-28,Plate,137.61,141.66,222,2013,102,2013-05-26,2013-05-31
2013-05-28,Cutout,208.54,189.93,222,2013,102,2013-05-26,2013-05-31
2013-05-28,Trim,88.39,88.39,222,2013,102,2013-05-26,2013-05-31
2013-05-28,Loin,319.92,264.35,222,2013,102,2013-05-26,2013-05-31
2013-05-28,Rib,321.48,271.67,222,2013,102,2013-05-26,2013-05-31
2013-05-28,Chuck,160.56,158.62,222,2013,102,2013-05-26,2013-05-31
2013-05-28,Flank,113.44,112.89,222,2013,102,2013-05-26,2013-05-31
2013-05-28,Round,163.34,159.32,222,2013,102,2013-05-26,2013-05-31
2013-05-28,Brisket,133.27,133.25,222,2013,102,2013-05-26,2013-05-31
2013-05-29,Cutout,209.53,190.33,223,2013,103,2013-05-26,2013-05-31
2013-05-29,Loin,324.43,264.92,223,2013,103,2013-05-26,2013-05-31
2013-05-29,Flank,114.37,111.2,223,2013,103,2013-05-26,2013-05-31
2013-05-29,Plate,138.0,141.92,223,2013,103,2013-05-26,2013-05-31
2013-05-29,Trim,86.49,86.49,223,2013,103,2013-05-26,2013-05-31
2013-05-29,Rib,322.93,274.41,223,2013,103,2013-05-26,2013-05-31
2013-05-29,Chuck,161.55,159.09,223,2013,103,2013-05-26,2013-05-31
2013-05-29,Brisket,133.41,132.49,223,2013,103,2013-05-26,2013-05-31
2013-05-29,Round,161.14,158.89,223,2013,103,2013-05-26,2013-05-31
2013-05-30,Round,158.83,157.02,224,2013,104,2013-05-26,2013-05-31
2013-05-30,Cutout,208.55,189.09,224,2013,104,2013-05-26,2013-05-31
2013-05-30,Flank,114.37,111.82,224,2013,104,2013-05-26,2013-05-31
2013-05-30,Chuck,159.57,156.91,224,2013,104,2013-05-26,2013-05-31
